,uwb25,uwb21,overlap_percentage
0,101,100,66.84843074129884
1,104,101,80.83996269507567
2,107,102,97.89044030965384
3,106,103,100.00000000000003
4,110,104,99.99999914828308
5,109,106,65.96884807471967
6,108,106,99.99999996365871
7,126,107,64.95305101501992
8,129,108,99.6760290804781
9,112,110,99.99999999999997
10,127,112,86.60155384638053
11,114,113,79.37462889597437
12,128,116,62.428805804861874
13,115,117,99.99999999999997
14,116,118,100.00000000000003
15,119,119,65.1511809117881
16,120,120,100.00000000000004
17,118,121,99.99999969146614
18,124,122,65.60399987819561
19,105,125,99.99999916935636
20,200,200,100.00000000000009
21,201,201,99.99999989066468
22,203,202,100.0
23,214,203,43.930647546972814
24,215,204,99.99999997067368
25,204,205,100.00000000000007
26,205,206,100.0
27,206,207,100.0
28,207,208,99.99999956580415
29,208,209,99.32159506445228
30,209,210,99.99999951224213
31,211,211,88.19098706432
32,210,212,100.0
33,212,214,74.1647460482969
34,213,215,69.08963281184121
35,225,216,80.72791654247409
36,222,217,99.99999353844295
37,224,218,100.00000000000003
38,223,219,80.73015231619921
39,221,206,53.62690628899721
40,219,221,70.62562830149291
41,220,222,74.5301752986179
42,217,223,99.96059625996921
43,218,224,100.00000000000003
44,227,225,99.99999999999997
45,228,226,51.2827042057987
46,230,227,99.99999999981362
47,226,228,100.0
48,229,229,99.99999999999997
49,300,300,91.00044033701373
50,303,302,100.0
51,304,303,100.0
52,305,304,98.30260945131842
53,316,305,100.00000000000003
54,306,306,100.00000000000003
55,317,307,100.0
56,307,308,99.99999999999999
57,308,309,99.99999999999999
58,309,310,99.99999999999997
59,310,311,100.0
60,311,312,90.57978470835378
61,312,313,100.0
62,313,314,100.00000000000009
63,314,315,100.00000000000003
64,315,316,99.99999956783377
65,318,317,100.00000000000003
66,319,318,99.99999897741279
67,321,319,97.76850748582949
68,320,320,100.0
69,323,321,100.00000000000009
70,324,322,100.00000000000004
71,322,323,99.99999999999996
72,325,324,100.00000000000009
73,326,325,100.0
74,327,326,99.78278747459508
75,330,327,99.99999980839685
76,401,401,100.00000000000003
77,402,402,100.0
78,403,403,61.517674206068406
79,405,404,63.98150057074529
80,406,405,100.0
81,407,406,100.00000000000003
82,408,407,100.0
83,409,408,100.0
84,411,409,100.0
85,410,410,100.00000000000003
86,412,411,61.490513895460644
87,413,412,69.67046275471611
88,414,413,69.58835380967753
89,404,414,100.00000000000003
90,416,416,70.31894355728043
91,415,417,100.0
92,419,418,100.0
93,418,422,79.11301924712465
94,421,421,100.00000000000003
95,423,423,99.99999594381859
96,424,424,91.01457281860974
97,427,427,62.54641009398918
98,428,427,58.563869143617964
99,500,500,100.0
100,501,501,72.39228150176163
101,503,503,100.00000000000003
102,502,504,100.0
103,505,505,99.99999999999999
104,504,506,100.0
